POPULATION,COUNTYFIPS,LATITUDE,LONGITUDE,NAME,ADDRESS,CITY,STATE,COUNTY,ZIP,TELEPHONE,TYPE,STATUS,SOURCE,WEBSITE,OWNER,TOTAL_BEDS_IN_COUNTY,MARKET_SHARE,PROVIDERNUMBER,TOTAL_HOSPITAL_BEDS,ICU_HOSPITAL_BEDS,CONFIRMED_CASES_STATE,DEATHS_STATE,RECOVERED_STATE,COUNTY_CASES,PATIENTS
596849,12009,28.08719802,-80.61443759999999,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,FL,BREVARD,32901,(321) 434-7171,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.health-first.org,NON-PROFIT,1466.0,0.3506139154160982,100019.0,514.0,54.0,314.0,7.0,0.0,1,0.3506139154160982
596849,12009,28.08719802,-80.61443759999999,HOLMES REGIONAL MEDICAL CENTER,1350 S HICKORY ST,MELBOURNE,FL,BREVARD,32901,(321) 434-7171,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.health-first.org,NON-PROFIT,1466.0,0.3506139154160982,100019.0,514.0,54.0,314.0,7.0,0.0,2,0.7012278308321964
596849,12009,28.63074177,-80.82420147,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,FL,BREVARD,32796,(321) 268-6110,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.parrishmed.com,GOVERNMENT - DISTRICT/AUTHORITY,1466.0,0.11118690313778991,100028.0,163.0,8.0,314.0,7.0,0.0,1,0.11118690313778991
596849,12009,28.63074177,-80.82420147,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,FL,BREVARD,32796,(321) 268-6110,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.parrishmed.com,GOVERNMENT - DISTRICT/AUTHORITY,1466.0,0.11118690313778991,100028.0,163.0,8.0,314.0,7.0,0.0,2,0.22237380627557982
596849,12009,28.3601248,-80.62298517,CAPE CANAVERAL HOSPITAL,701 W COCOA BEACH CSWY,COCOA BEACH,FL,BREVARD,32931,(321) 799-7111,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.health-first.org,NON-PROFIT,1466.0,0.10231923601637108,100177.0,150.0,12.0,314.0,7.0,0.0,1,0.10231923601637108
596849,12009,28.3601248,-80.62298517,CAPE CANAVERAL HOSPITAL,701 W COCOA BEACH CSWY,COCOA BEACH,FL,BREVARD,32931,(321) 799-7111,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.health-first.org,NON-PROFIT,1466.0,0.10231923601637108,100177.0,150.0,12.0,314.0,7.0,0.0,2,0.20463847203274216
596849,12009,28.334993800000003,-80.72282544,WUESTHOFF MEDICAL CENTER-ROCKLEDGE,110 LONGWOOD AVE,ROCKLEDGE,FL,BREVARD,32955,(321) 636-2211,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.wuesthoff.org,PROPRIETARY,1466.0,0.20327421555252387,,298.0,,314.0,7.0,0.0,1,0.20327421555252387
596849,12009,28.334993800000003,-80.72282544,WUESTHOFF MEDICAL CENTER-ROCKLEDGE,110 LONGWOOD AVE,ROCKLEDGE,FL,BREVARD,32955,(321) 636-2211,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.wuesthoff.org,PROPRIETARY,1466.0,0.20327421555252387,,298.0,,314.0,7.0,0.0,2,0.40654843110504774
596849,12009,28.22796788,-80.72933205,VIERA HOSPITAL,8745 N WICKHAM RD,MELBOURNE,FL,BREVARD,32940,(321) 434-9000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.vierahospital.org,NON-PROFIT,1466.0,0.0572987721691678,100315.0,84.0,20.0,314.0,7.0,0.0,1,0.0572987721691678
596849,12009,28.22796788,-80.72933205,VIERA HOSPITAL,8745 N WICKHAM RD,MELBOURNE,FL,BREVARD,32940,(321) 434-9000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.vierahospital.org,NON-PROFIT,1466.0,0.0572987721691678,100315.0,84.0,20.0,314.0,7.0,0.0,2,0.1145975443383356
596849,12009,27.99942824,-80.61094885,PALM BAY HOSPITAL,1425 MALABAR RD NE,PALM BAY,FL,BREVARD,32907,(321) 434-8000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://palmbayhospital.com/hospitals_services/pbch/index.cfm,NON-PROFIT,1466.0,0.0941336971350614,100316.0,138.0,12.0,314.0,7.0,0.0,1,0.0941336971350614
596849,12009,27.99942824,-80.61094885,PALM BAY HOSPITAL,1425 MALABAR RD NE,PALM BAY,FL,BREVARD,32907,(321) 434-8000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://palmbayhospital.com/hospitals_services/pbch/index.cfm,NON-PROFIT,1466.0,0.0941336971350614,100316.0,138.0,12.0,314.0,7.0,0.0,2,0.1882673942701228
596849,12009,28.10931987,-80.67482367,WUESTHOFF MEDICAL CENTER-MELBOURNE,250 N WICKHAM RD,MELBOURNE,FL,BREVARD,32935,(321) 752-1200,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.wuesthoff.org,PROPRIETARY,1466.0,0.08117326057298772,,119.0,,314.0,7.0,0.0,1,0.08117326057298772
596849,12009,28.10931987,-80.67482367,WUESTHOFF MEDICAL CENTER-MELBOURNE,250 N WICKHAM RD,MELBOURNE,FL,BREVARD,32935,(321) 752-1200,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.wuesthoff.org,PROPRIETARY,1466.0,0.08117326057298772,,119.0,,314.0,7.0,0.0,2,0.16234652114597545
1951260,12011,26.26875278,-80.25565622,BROWARD HEALTH CORAL SPRINGS,3000 CORAL HILLS DR,CORAL SPRINGS,FL,BROWARD,33065,(954) 344-3000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.browardhealth.org/bhcs,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.034958923265163436,100276.0,200.0,16.0,314.0,7.0,0.0,96,3.35605663345569
1951260,12011,26.27700374,-80.12096378,BROWARD HEALTH NORTH,201 E SAMPLE RD,POMPANO BEACH,FL,BROWARD,33064,(954) 941-8300,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.browardhealth.org/Default.aspx?id=3&sid=3&CWFriendlyUrl=true,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.07149099807725923,100086.0,409.0,29.0,314.0,7.0,0.0,96,6.863135815416886
1951260,12011,26.08192217,-80.36489475,CLEVELAND CLINIC HOSPITAL,3100 WESTON RD,WESTON,FL,BROWARD,33326,(954) 689-5000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.clevelandclinic.org/florida,NON-PROFIT,5721.0,0.02709316553050166,100289.0,155.0,48.0,314.0,7.0,0.0,96,2.6009438909281593
1951260,12011,26.01301541,-80.31080036,MEMORIAL HOSPITAL WEST,703 N FLAMINGO RD,PEMBROKE PINES,FL,BROWARD,33028,(954) 436-5000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.mhs.net,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.07795839888131445,100281.0,446.0,32.0,314.0,7.0,0.0,96,7.484006292606187
1951260,12011,26.01894181,-80.18002199,MEMORIAL REGIONAL HOSPITAL,3501 JOHNSON ST,HOLLYWOOD,FL,BROWARD,33021,(954) 987-2000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.mhs.net,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.13931130921167628,100038.0,797.0,92.0,314.0,7.0,0.0,96,13.373885684320923
1951260,12011,26.26297481,-80.20288603,NORTHWEST MEDICAL CENTER,2801 N STATE RD 7,MARGATE,FL,BROWARD,33063,(954) 974-0400,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.northwestmed.com,PROPRIETARY,5721.0,0.03985317252228631,30085.0,228.0,35.0,314.0,7.0,0.0,96,3.8259045621394856
1951260,12011,26.18646107,-80.11993790000001,HOLY CROSS HOSPITAL,4725 N FEDERAL HWY,FORT LAUDERDALE,FL,BROWARD,33308,(954) 771-8000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.holy-cross.com,NON-PROFIT,5721.0,0.09736060129348016,210004.0,557.0,46.0,314.0,7.0,0.0,96,9.346617724174095
1951260,12011,25.99086815,-80.37275118,MEMORIAL HOSPITAL MIRAMAR,1901 SW  172ND AVE,MIRAMAR,FL,BROWARD,33029,(954) 538-4800,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.mhs.net,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.031113441705995455,100285.0,178.0,18.0,314.0,7.0,0.0,96,2.986890403775564
1951260,12011,26.12640945,-80.20526766,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,PLANTATION,FL,BROWARD,33317,(954) 587-5010,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.plantationgeneral.com,PROPRIETARY,5721.0,0.04614577871001573,100167.0,264.0,,314.0,7.0,0.0,96,4.42999475616151
1951260,12011,26.21215033,-80.2541543,UNIVERSITY HOSPITAL AND MEDICAL CENTER,7201 N UNIVERSITY DR,TAMARAC,FL,BROWARD,33321,(954) 721-2200,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.uhmchealth.com,PROPRIETARY,5721.0,0.05540989337528404,100224.0,317.0,15.0,314.0,7.0,0.0,96,5.319349764027268
1951260,12011,26.029793100000003,-80.24558482,MEMORIAL HOSPITAL PEMBROKE,7800 SHERIDAN ST,PEMBROKE PINES,FL,BROWARD,33024,(954) 962-9650,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.memorialpembroke.com/,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.05261317951407097,100230.0,301.0,24.0,314.0,7.0,0.0,96,5.050865233350813
1951260,12011,26.16336745,-80.21857890000001,NORTH SHORE MEDICAL CENTER - FMC CAMPUS,5000 W OAKLAND PARK BLVD,LAUDERDALE LAKES,FL,BROWARD,33313,(954) 735-6000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.fmc-campus.com,PROPRIETARY,5721.0,0.08023072889355008,,459.0,,314.0,7.0,0.0,96,7.7021499737808075
1951260,12011,26.20705176,-80.11087020000001,BROWARD HEALTH IMPERIAL POINT,6401 N FEDERAL HWY,FORT LAUDERDALE,FL,BROWARD,33308,(954) 776-8500,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.browardhealth.org/Default.aspx?id=4&sid=4&CWFriendlyUrl=true,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.0356581017304667,100200.0,204.0,10.0,314.0,7.0,0.0,96,3.423177766124803
1951260,12011,26.10263549,-80.14088964,BROWARD HEALTH MEDICAL CENTER,1600 S ANDREWS AVE,FORT LAUDERDALE,FL,BROWARD,33316,(954) 355-4400,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.browardhealth.org/bhmc,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.11466526830973606,100039.0,656.0,57.0,314.0,7.0,0.0,96,11.007865757734661
1951260,12011,26.00979908,-80.14425525,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,1859 VAN BUREN ST,HOLLYWOOD,FL,BROWARD,33020,(954) 920-9000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.khsfhollywood.com/,PROPRIETARY,5721.0,0.020800559342772244,,119.0,,314.0,7.0,0.0,96,1.9968536969061355
1951260,12011,26.00219657,-80.17991035,MEMORIAL REGIONAL HOSPITAL SOUTH,3600 WASHINGTON ST,HOLLYWOOD,FL,BROWARD,33021,(954) 518-5001,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.memorialregionalsouth.com,GOVERNMENT - DISTRICT/AUTHORITY,5721.0,0.03775563712637651,,216.0,,314.0,7.0,0.0,96,3.624541164132145
1951260,12011,26.12329367,-80.25973415,WESTSIDE REGIONAL MEDICAL CENTER,8201 W BROWARD BLVD,PLANTATION,FL,BROWARD,33324,(954) 476-3915,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.westsideregional.com,PROPRIETARY,5721.0,0.03758084251005069,100228.0,215.0,32.0,314.0,7.0,0.0,96,3.6077608809648662
184998,12015,26.98892519,-82.09569026,BAYFRONT HEALTH PORT CHARLOTTE,2500 HARBOR BLVD,PORT CHARLOTTE,FL,CHARLOTTE,33952,(941) 766-4122,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.charlotteregional.com/locations/peace-river-regional-medical-center,PROPRIETARY,771.0,0.32944228274967574,100077.0,254.0,22.0,314.0,7.0,0.0,1,0.32944228274967574
184998,12015,26.94094642,-82.04027740000001,BAYFRONT HEALTH PUNTA GORDA,809 E MARION AVE,PUNTA GORDA,FL,CHARLOTTE,33950,(941) 637-3128,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.rmchealth.com,PROPRIETARY,771.0,0.3631647211413748,100047.0,280.0,10.0,314.0,7.0,0.0,1,0.3631647211413748
184998,12015,26.98841831,-82.09806929,FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BLVD,PORT CHARLOTTE,FL,CHARLOTTE,33952,(941) 629-1181,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.fawcetthospital.com,PROPRIETARY,771.0,0.30739299610894943,100236.0,237.0,19.0,314.0,7.0,0.0,1,0.30739299610894943
147929,12017,28.83403439,-82.33579571,CITRUS MEMORIAL HOSPITAL,502 HIGHLAND BLVD,INVERNESS,FL,CITRUS,34452,(352) 726-1551,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.citrusmh.com,NON-PROFIT,332.0,0.6144578313253012,100023.0,204.0,24.0,314.0,7.0,0.0,3,1.8433734939759034
147929,12017,28.95195805,-82.62450274,SEVEN RIVERS REGIONAL MEDICAL CENTER,6201 N SUNCOAST BLVD,CRYSTAL RIVER,FL,CITRUS,34428,(352) 795-6560,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.srrmc.com,PROPRIETARY,332.0,0.3855421686746988,100249.0,128.0,16.0,314.0,7.0,0.0,3,1.1566265060240966
216072,12019,30.10876243,-81.83268869,ST. VINCENT'S MEDICAL CENTER CLAY COUNTY,1670 ST. VINCENT'S WAY,MIDDLEBURG,FL,CLAY,32068,(904) 602-1000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.jaxhealth.com/,NON-PROFIT,336.0,0.31547619047619047,,106.0,,314.0,7.0,0.0,4,1.2619047619047619
216072,12019,30.16584024,-81.73758964,ORANGE PARK MEDICAL CENTER,2001 KINGSLEY AVE,ORANGE PARK,FL,CLAY,32073,(904) 276-8500,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.opmedical.com,PROPRIETARY,336.0,0.6845238095238095,100226.0,230.0,28.0,314.0,7.0,0.0,4,2.738095238095238
378488,12021,26.15064489,-81.79874297,NAPLES COMMUNITY HOSPITAL,350 SEVENTH ST N,NAPLES,FL,COLLIER,34102,(239) 436-5000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,HTTP://WWW.NCHMD.ORG,NON-PROFIT,964.0,0.40560165975103735,100018.0,391.0,34.0,314.0,7.0,0.0,18,7.300829875518672
378488,12021,26.10553542,-81.68488477,PHYSICIANS REGIONAL - COLLIER BOULEVARD,8300 COLLIER BLVD,NAPLES,FL,COLLIER,34114,(239) 354-6000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.physiciansregional.com/locations/physicians-regional-collier,PROPRIETARY,964.0,0.1037344398340249,,100.0,,314.0,7.0,0.0,18,1.8672199170124482
378488,12021,26.270174,-81.788584,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,1285 CREEKSIDE BLVD E,NAPLES,FL,COLLIER,34109,(239) 529-1800,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,https://www.landmarkhospitals.com/,PROPRIETARY,964.0,0.05186721991701245,,50.0,,314.0,7.0,0.0,18,0.9336099585062241
378488,12021,26.274308899999998,-81.78874501,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,11190 HEALTHPARK BLVD,NAPLES,FL,COLLIER,34110,(239) 513-7000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.nchmd.org/default.aspx?id=308,NON-PROFIT,964.0,0.33402489626556015,,322.0,,314.0,7.0,0.0,18,6.012448132780083
378488,12021,26.21395287,-81.73268379,PHYSICIANS REGIONAL - PINE RIDGE,6101 PINE RIDGE RD,NAPLES,FL,COLLIER,34119,(239) 348-4000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.physiciansregional.com/locations/physicians-regional-pine-ridge,PROPRIETARY,964.0,0.10477178423236515,,101.0,,314.0,7.0,0.0,18,1.8858921161825726
950181,12031,30.31565115,-81.6647074,BAPTIST MEDICAL CENTER JACKSONVILLE,800 PRUDENTIAL DR,JACKSONVILLE,FL,DUVAL,32207,(904) 202-2000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.e-baptisthealth.com,NON-PROFIT,3431.0,0.2013990090352667,100088.0,691.0,120.0,314.0,7.0,0.0,15,3.0209851355290005
950181,12031,30.28806178,-81.60150803,MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD S,JACKSONVILLE,FL,DUVAL,32216,(904) 399-6111,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.memorialhospitaljax.com,PROPRIETARY,3431.0,0.12387059166423783,100179.0,425.0,51.0,314.0,7.0,0.0,15,1.8580588749635676
950181,12031,30.30752863,-81.69061053,SAINT VINCENT'S MEDICAL CENTER RIVERSIDE,1 SHIRCLIFF WAY,JACKSONVILLE,FL,DUVAL,32204,(904) 308-7300,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.jaxhealth.com,NON-PROFIT,3431.0,0.15389099387933547,,528.0,,314.0,7.0,0.0,15,2.308364908190032
950181,12031,30.34850524,-81.66427482,UF HEALTH JACKSONVILLE,655 W 8TH ST,JACKSONVILLE,FL,DUVAL,32209,(904) 244-0411,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://ufhealthjax.org/,NON-PROFIT,3431.0,0.17575051005537745,100001.0,603.0,80.0,314.0,7.0,0.0,15,2.636257650830662
950181,12031,30.13877786,-81.53538489,BAPTIST MEDICAL CENTER SOUTH,14550 OLD SAINT AUGUSTINE RD,JACKSONVILLE,FL,DUVAL,32258,(904) 271-6002,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.baptistjax.com/locations/baptist-medical-center-south,NON-PROFIT,3431.0,0.06587000874380647,10023.0,226.0,12.0,314.0,7.0,0.0,15,0.9880501311570971
950181,12031,30.2716244,-81.61546189,SPECIALTY HOSPITAL JACKSONVILLE,4901 RICHARD ST,JACKSONVILLE,FL,DUVAL,32207,(904) 737-3120,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.specialtyhospitaljax.com,PROPRIETARY,3431.0,0.031186243077819878,,107.0,,314.0,7.0,0.0,15,0.4677936461672982
950181,12031,30.25337778,-81.58236885,ST VINCENT'S MEDICAL CENTER SOUTHSIDE,4201 BELFORT RD,JACKSONVILLE,FL,DUVAL,32216,(904) 296-3700,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.jaxhealth.com,NON-PROFIT,3431.0,0.09006120664529292,100307.0,309.0,17.0,314.0,7.0,0.0,15,1.350918099679394
950181,12031,30.483998,-81.63341899999999,UF HEALTH NORTH,15255 MAX LEGGETT PARKWAY,JACKSONVILLE,FL,DUVAL,32218,(904) 237-5228,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,https://north.ufhealthjax.org/,NON-PROFIT,3431.0,0.026814339842611484,,92.0,,314.0,7.0,0.0,15,0.40221509763917224
950181,12031,30.27337357,-81.39831629,BAPTIST MEDICAL CENTER - BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,FL,DUVAL,32250,(904) 627-2900,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.baptistjax.com/locations/baptist-medical-center-beaches,NON-PROFIT,3431.0,0.0425531914893617,100117.0,146.0,,314.0,7.0,0.0,15,0.6382978723404256
950181,12031,30.26391313,-81.44108268,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,FL,DUVAL,32224,(904) 953-2000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.mayoclinic.org,NON-PROFIT,3431.0,0.08860390556689011,100151.0,304.0,54.0,314.0,7.0,0.0,15,1.3290585835033517
